peel_pdb_id;ref_pdb_id;TMscore_ref;TM_parMATT;best_peel_TM_rev;best_peel_TM;max_peel_TM;best_peel_gdt;best_peel_gdt_rev;max_peel_gdt1he9A;1nfn;0.50117;0.315;0.3714;0.3104;0.3714;0.3104;0.3714;0.3714
1hcy;1lnlB;0.44465;0.1479;0.1593;0.1488;0.1593;0.1488;0.1593;0.1593
1afrA;1jkuA;0.41873;0.2084;0.2111;0.2084;0.2111;0.2084;0.2111;0.2111
1ay9B;1b12A;0.33296;0.11;0.11;0.1126;0.1126;0.1126;0.11;0.1126
1hx6A;1p2zA;0.35571;0.1198;0.1264;0.1193;0.1264;0.1193;0.1264;0.1264
1b09A;1dy4A;0.31363;0.1197;0.1197;0.1126;0.1197;0.1126;0.1197;0.1197
1olzA;2trcB;0.52994;0.1622;0.1632;0.1626;0.1632;0.1626;0.1632;0.1632
1gbg;1ovwA;0.4286;0.1144;0.1144;0.1145;0.1145;0.1145;0.1144;0.1145
1ed9A;1p49A;0.41017;0.1734;0.1784;0.1524;0.1784;0.1524;0.1784;0.1784
1xyzA;2hvm;0.55752;0.1755;0.2083;0.1743;0.2083;0.1743;0.2083;0.2083
1crl;1ede;0.36486;0.1511;0.1417;0.1511;0.1511;0.1511;0.1417;0.1511
1jj7A;1lvgA;0.34362;0.1487;0.1529;0.1663;0.1663;0.1663;0.1529;0.1663
2admA;2hmyB;0.34433;0.16;0.169;0.1683;0.169;0.1683;0.169;0.169
1lzy;148lE;0.37434;0.1549;0.1472;0.1426;0.1472;0.1426;0.1472;0.1472
1an9A;1npx;0.46461;0.1791;0.1696;0.1748;0.1748;0.1748;0.1696;0.1748
1dmaA;1lt3A;0.36266;0.1546;0.1546;0.1632;0.1632;0.1632;0.1546;0.1632
1bmlD;2sak;0.41685;0.2464;0.2417;0.2327;0.2417;0.2327;0.2417;0.2417
1ng4A;3cox;0.44017;0.1535;0.1635;0.1253;0.1635;0.1253;0.1635;0.1635
1aqzA;1a2pA;0.3909;0.1581;0.155;0.1974;0.1974;0.1974;0.155;0.1974
1d5rA;1rsy;0.55144;0.1324;0.1352;0.1438;0.1438;0.1438;0.1352;0.1438
1nls;2bqpA;0.47164;0.1577;0.1594;0.1587;0.1594;0.1587;0.1594;0.1594
1qasA;1rsy;0.67751;0.1231;0.1317;0.1281;0.1317;0.1281;0.1317;0.1317
1b6a;1bia;0.45724;0.1579;0.161;0.1417;0.161;0.1417;0.161;0.161
1b5tA;1k87A;0.44955;0.2024;0.2179;0.1743;0.2179;0.1743;0.2179;0.2179
1jwyB;1pujA;0.28694;0.1876;0.1553;0.1822;0.1822;0.1822;0.1553;0.1822
1jwyB;1u0lA;0.26757;0.1575;0.1616;0.1623;0.1623;0.1623;0.1616;0.1623
1nw5A;2admA;0.28246;0.1332;0.1338;0.1352;0.1352;0.1352;0.1338;0.1352
1gsa;2hgsA;0.56655;0.2343;0.2337;0.2332;0.2337;0.2332;0.2337;0.2337
1qq5A;3chy;0.30638;0.1393;0.1547;0.1393;0.1547;0.1393;0.1547;0.1547
1kiaA;1nw5A;0.35518;0.1824;0.182;0.18;0.182;0.18;0.182;0.182
2bbmA;4cln;0.42476;0.4357;0.8134;0.8279;0.8279;0.8279;0.8134;0.8279
1dliA;1mv8A;0.4642;0.4731;0.5635;0.5812;0.5812;0.5373;0.5635;0.5635
1havA;1kxf;0.50019;0.1308;0.125;0.1283;0.1283;0.1283;0.125;0.1283
1l5bA;1l5eA;0.55845;0.5625;0.9664;0.9767;0.9767;0.9767;0.9664;0.9767
1adl;1mup;0.46502;0.1844;0.2033;0.1455;0.2033;0.1455;0.2033;0.2033
1gggA;1wdnA;0.66599;0.4975;0.6618;0.6614;0.6618;0.6614;0.6618;0.6618
1d5fA;1nd7A;0.55901;0.1529;0.1674;0.1674;0.1674;0.1674;0.1674;0.1674
